county,county_name,Wheat_Acre_Value_Year,Corn_Acre_Value_Year,CRP_Acre_Cost_Year,Pasture_Acre_Value_Year,Tree_Removal_Per_Acre_Cost_Once,Wetland_development_Per_Acre_Cost_Once
1,ADAMS,182.33,787.49,-26.18,29,-600,-6705
2,ANTELOPE,260.8,748.64,-27.8,57.9,-600,-6705
3,ARTHUR,290.23,718.94,-85.31,11,-600,-6705
4,BANNER,199.07,565.5,-77.6,8.1,-600,-6705
5,BLAINE,290.23,718.83,-101.35,15.5,-600,-6705
6,BOONE,260.8,718.59,-80.75,45,-600,-6705
7,BOX BUTTE,258.5,555.85,-36.52,11.5,-600,-6705
8,BOYD,290.23,718.83,-62.8,16.38,-600,-6705
9,BROWN,290.23,718.94,-99.41,20.5,-600,-6705
10,BUFFALO,263.69,759.8,-40.03,33.5,-600,-6705
11,BURT,260.8,735.01,-63.99,57.9,-600,-6705
12,BUTLER,246.38,729.59,-37.15,55.5,-600,-6705
13,CASS,246.38,731.84,-72.08,38.5,-600,-6705
14,CEDAR,260.8,738.09,-123.73,59.5,-600,-6705
15,CHASE,326.01,673.59,-104.08,14.5,-600,-6705
16,CHERRY,290.23,718.83,-143.72,12.5,-600,-6705
17,CHEYENNE,208.3,565.5,-125.53,9.35,-600,-6705
18,CLAY,186.95,763,-63.75,26.5,-600,-6705
19,COLFAX,204.26,771.76,-34.88,64,-600,-6705
20,CUMING,260.8,755.51,-36.88,75,-600,-6705
21,CUSTER,196.18,701.11,-90.97,27.5,-600,-6705
22,DAKOTA,260.8,735.15,-155.23,39,-600,-6705
23,DAWES,212.91,560.98,-154.1,11,-600,-6705
24,DAWSON,235.99,798.66,-61.18,33,-600,-6705
25,DEUEL,218.68,565.5,-125.54,9.35,-600,-6705
26,DIXON,260.8,735.01,-37.68,57,-600,-6705
27,DODGE,246.38,731.84,-94.19,43.5,-600,-6705
28,DOUGLAS,212.91,731.76,-37.89,39.5,-600,-6705
29,DUNDY,260.8,581.67,-145.9,17.07,-600,-6705
30,FILLMORE,253.88,752.01,-149.69,38,-600,-6705
31,FRANKLIN,188.68,698.09,-137.44,25.5,-600,-6705
32,FRONTIER,172.52,573.35,-67.64,21,-600,-6705
33,FURNAS,172.52,733.57,-83.98,23.5,-600,-6705
34,GAGE,152.33,574.97,-85.88,37,-600,-6705
35,GARDEN,238.3,565.5,-96.29,9.1,-600,-6705
36,GARFIELD,290.23,667.89,-69.58,24.5,-600,-6705
37,GOSPER,200.22,733.57,-88.97,27,-600,-6705
38,GRANT,290.23,718.94,-43.93,16.38,-600,-6705
39,GREELEY,235.99,682.56,-52.01,32,-600,-6705
40,HALL,235.99,730.08,-86.47,33,-600,-6705
41,HAMILTON,236.57,802.34,-73.7,34,-600,-6705
42,HARLAN,185.22,682.21,-90,28.5,-600,-6705
43,HAYES,242.92,563.38,-83.49,16,-600,-6705
44,HITCHCOCK,203.68,599.56,-97.66,17.5,-600,-6705
45,HOLT,290.23,718.83,-82.29,16.38,-600,-6705
46,HOOKER,290.23,718.94,-51.15,9,-600,-6705
47,HOWARD,235.99,690.9,-64.23,31.5,-600,-6705
48,JEFFERSON,193.3,631.65,-57.67,33.5,-600,-6705
49,JOHNSON,139.06,555.83,-52.16,34.5,-600,-6705
50,KEARNEY,218.11,794.65,-80.26,28,-600,-6705
51,KEITH,255.61,596.54,-92.74,13,-600,-6705
52,KEYA PAHA,290.23,718.83,-98.97,22,-600,-6705
53,KIMBALL,146.56,441.9,-83.32,8.4,-600,-6705
54,KNOX,260.8,712.72,-42.53,40.5,-600,-6705
55,LANCASTER,156.37,593.29,-48.18,37.5,-600,-6705
56,LINCOLN,233.11,697.78,-28.27,16.5,-600,-6705
57,LOGAN,290.23,718.83,-123.78,15,-600,-6705
58,LOUP,290.23,718.83,-101.53,20,-600,-6705
59,MADISON,260.8,733.23,-70.74,58.5,-600,-6705
60,MCPHERSON,290.23,718.94,-45.62,14.5,-600,-6705
61,MERRICK,246.38,720.08,-51.6,45,-600,-6705
62,MORRILL,218.68,560.98,-36.41,9.35,-600,-6705
63,NANCE,246.38,699.79,-116.02,56.5,-600,-6705
