Country,State,Route,Active,Latitude,Longitude,Stratum
124,04,004,0,49.8150900,-113.5698200,38
124,04,009,1,50.6014700,-113.0285200,38
124,04,013,1,51.7781800,-112.6469400,37
124,04,015,1,51.8314300,-114.4503900,30
124,04,018,1,52.4630900,-110.6512700,30
124,04,020,1,52.1720800,-112.3386100,37
124,04,022,1,52.0279900,-114.4778200,30
124,04,026,1,53.4966600,-110.8664400,30
124,04,029,1,53.6870100,-113.8854800,30
124,04,031,1,53.8027200,-115.2655100,29
124,04,032,1,53.5991700,-116.4042500,29
124,04,038,1,54.4999900,-112.9798600,29
124,04,039,1,54.8351300,-113.1581600,29
124,04,040,1,54.1203800,-114.7149100,29
124,04,042,1,54.1331100,-116.2159200,30
124,04,044,1,54.7501100,-118.2262100,30
124,04,046,1,55.5542100,-110.9070800,29
124,04,062,1,56.3628000,-117.0033500,29
124,04,063,1,56.2761100,-117.8211900,29
124,04,077,1,59.9885700,-111.8384900,25
124,04,078,1,59.3110200,-112.4871600,29
124,04,079,1,59.8617500,-111.6148400,25
124,04,105,1,49.0201000,-114.0452800,65
124,04,122,1,52.5814066,-114.4095950,30
124,04,131,1,53.7736200,-115.6118900,29
124,04,136,1,54.1805200,-110.3049400,29
124,04,138,1,54.4341400,-112.8288000,30
124,04,141,1,54.7423100,-115.7825300,29
124,04,143,1,54.3633500,-117.0365900,30
124,04,204,1,49.2617400,-113.6568300,38
124,04,227,1,53.7762400,-111.2425700,30
124,04,228,1,53.9343400,-112.7033500,30
124,04,237,1,54.4716000,-111.3793900,29
124,04,238,1,54.2392400,-112.2259100,30
124,04,240,0,54.4718100,-114.0776000,29
124,04,241,1,54.0351500,-115.1175400,29
124,04,251,1,54.9990000,-115.2599400,29
124,04,252,1,55.4323300,-116.4117000,29
124,04,310,0,50.2701700,-114.2075100,37
124,04,311,1,51.4445200,-110.9191300,37
124,04,319,1,51.9975600,-111.8144400,37
124,04,326,1,53.9914300,-110.9457500,30
124,04,329,1,53.1343000,-113.1962100,30
124,04,330,1,53.6284400,-114.3987000,30
124,04,331,1,53.6138800,-115.4511100,29
124,04,338,1,54.6733400,-112.3749300,30
124,04,340,1,54.3405900,-114.4894100,29
124,04,352,1,55.4327700,-116.3062300,29
124,04,353,1,56.0143460,-117.1853250,29
124,04,404,1,49.8757720,-114.0791140,30
124,04,430,1,53.0177200,-114.1725800,30
124,04,438,0,54.9181600,-112.0179800,29
124,04,540,1,54.4802900,-114.1532600,29
124,11,004,1,49.4616100,-115.5162400,64
124,11,011,0,49.1840200,-122.5347800,94
124,11,017,1,50.9243500,-116.4783900,64
124,11,019,1,50.4406300,-118.7433200,64
124,11,023,1,50.7898000,-122.2240700,63
124,11,033,0,51.3870400,-120.7102900,63
124,11,034,1,51.4131900,-121.9794400,63
124,11,036,1,51.5628900,-123.6974900,63
124,11,037,1,51.4895900,-124.3919400,63
124,11,045,1,52.1495200,-122.0676800,63
124,11,046,1,52.2551000,-123.5247100,63
124,11,048,1,52.5102600,-125.4072300,63
124,11,053,1,53.2789500,-120.0785000,64
124,11,057,1,53.5981100,-124.9014600,63
124,11,085,1,56.0302800,-121.9082700,29
124,11,110,1,58.8423600,-122.9158500,29
124,11,133,1,51.3870400,-120.7102900,63
124,11,167,1,54.0871500,-124.8316800,68
124,11,175,0,55.9253370,-120.9927680,29
124,11,185,1,55.5776800,-121.5912000,29
124,11,198,1,54.0308500,-132.0565100,94
124,11,199,0,53.2505100,-132.1171200,94
124,11,204,0,49.6484700,-115.6497200,64
124,11,205,1,49.0731700,-116.5226800,64
124,11,233,1,51.3166600,-120.1499900,64
124,11,234,1,51.9788500,-121.4652300,63
124,11,235,1,51.9559200,-122.4093300,63
124,11,236,1,51.7948300,-123.0701100,63
124,11,237,1,51.9825400,-124.3681300,63
124,11,244,1,52.4733100,-121.3851800,63
124,11,245,1,52.1243200,-122.3496300,63
124,11,248,1,52.2574900,-125.0894300,63
124,11,255,1,53.9421000,-122.8157000,63
124,11,256,1,53.6535600,-122.9608400,63
124,11,265,1,54.3429400,-122.6524000,63
