Country,State,Route,Year,Aou,SpeciesTotal
124,04,004,1974,02060,1
124,04,009,1999,02060,1
124,04,013,1981,02060,2
124,04,013,2007,02060,1
124,04,013,2008,02060,1
124,04,015,1976,02060,3
124,04,015,1983,02060,2
124,04,015,1995,02060,1
124,04,015,1996,02060,2
124,04,015,1999,02060,2
124,04,015,2002,02060,2
124,04,015,2008,02060,2
124,04,015,2017,02060,2
124,04,018,2006,02060,2
124,04,018,2009,02060,1
124,04,018,2010,02060,1
124,04,020,1991,02060,1
124,04,020,2007,02060,1
124,04,020,2012,02060,10
124,04,020,2013,02060,1
124,04,020,2016,02060,1
124,04,020,2017,02060,1
124,04,020,2018,02060,2
124,04,020,2019,02060,2
124,04,022,1980,02060,2
124,04,022,1981,02060,4
124,04,022,1982,02060,2
124,04,022,1983,02060,4
124,04,022,1984,02060,2
124,04,022,1987,02060,2
124,04,022,1989,02060,2
124,04,022,1990,02060,1
124,04,022,1991,02060,2
124,04,022,1994,02060,4
124,04,022,1995,02060,3
124,04,022,1996,02060,1
124,04,022,1999,02060,2
124,04,022,2001,02060,10
124,04,022,2002,02060,22
124,04,022,2004,02060,2
124,04,022,2007,02060,5
124,04,022,2008,02060,4
124,04,022,2011,02060,6
124,04,022,2012,02060,1
124,04,022,2013,02060,1
124,04,022,2014,02060,6
124,04,022,2015,02060,8
124,04,022,2016,02060,13
124,04,022,2017,02060,1
124,04,022,2019,02060,10
124,04,026,1990,02060,8
124,04,026,2010,02060,1
124,04,029,2019,02060,2
124,04,031,2010,02060,1
124,04,031,2017,02060,2
124,04,032,1988,02060,2
124,04,032,1992,02060,2
124,04,032,1993,02060,1
124,04,032,1995,02060,1
124,04,032,1998,02060,1
124,04,032,1999,02060,1
124,04,032,2002,02060,1
124,04,032,2007,02060,1
124,04,038,1981,02060,1
124,04,038,1990,02060,2
124,04,038,1993,02060,4
124,04,038,1995,02060,4
124,04,039,1974,02060,1
124,04,039,1976,02060,1
124,04,039,1981,02060,1
124,04,039,1990,02060,1
124,04,039,1992,02060,1
124,04,039,1995,02060,1
124,04,040,1973,02060,28
124,04,040,1981,02060,4
124,04,040,1982,02060,3
124,04,040,1988,02060,7
124,04,040,1991,02060,1
124,04,040,1992,02060,1
124,04,040,1993,02060,3
124,04,040,1994,02060,3
124,04,040,1995,02060,8
124,04,040,1998,02060,2
124,04,040,2002,02060,1
124,04,040,2003,02060,1
124,04,040,2004,02060,4
124,04,040,2006,02060,4
124,04,040,2008,02060,2
124,04,040,2010,02060,2
124,04,040,2011,02060,3
124,04,040,2013,02060,2
124,04,040,2014,02060,7
124,04,040,2015,02060,4
124,04,040,2016,02060,2
124,04,040,2017,02060,1
124,04,042,1995,02060,1
124,04,044,2013,02060,6
124,04,044,2016,02060,2
124,04,044,2017,02060,1
124,04,046,2001,02060,2
124,04,062,2004,02060,2
124,04,062,2016,02060,2
124,04,062,2018,02060,4
124,04,062,2019,02060,2
124,04,063,2003,02060,1
124,04,077,1994,02060,1
124,04,077,1995,02060,8
124,04,077,1997,02060,2
124,04,077,1999,02060,2
124,04,077,2002,02060,3
124,04,077,2004,02060,1
124,04,077,2005,02060,2
124,04,077,2006,02060,2
124,04,077,2007,02060,1
124,04,077,2008,02060,2
124,04,077,2009,02060,4
124,04,077,2010,02060,1
124,04,077,2011,02060,3
124,04,077,2012,02060,2
124,04,077,2013,02060,1
124,04,077,2017,02060,2
124,04,077,2019,02060,1
124,04,078,1997,02060,1
124,04,078,1998,02060,7
124,04,078,1999,02060,2
124,04,078,2000,02060,1
124,04,078,2001,02060,3
124,04,078,2009,02060,1
124,04,079,2001,02060,2
124,04,079,2004,02060,1
124,04,105,1993,02060,1
124,04,105,1999,02060,1
124,04,105,2001,02060,2
124,04,105,2006,02060,1
124,04,105,2007,02060,3
124,04,105,2008,02060,1
124,04,105,2009,02060,4
124,04,105,2010,02060,3
124,04,105,2014,02060,3
124,04,105,2016,02060,1
124,04,105,2017,02060,1
124,04,105,2018,02060,2
124,04,122,2013,02060,2
124,04,131,1992,02060,1
124,04,131,1993,02060,1
124,04,131,1994,02060,3
124,04,131,1997,02060,1
124,04,131,1998,02060,2
124,04,131,1999,02060,1
124,04,131,2000,02060,7
124,04,131,2001,02060,1
124,04,131,2002,02060,6
124,04,131,2003,02060,2
124,04,131,2005,02060,2
124,04,131,2006,02060,8
124,04,131,2007,02060,3
124,04,131,2008,02060,2
124,04,131,2009,02060,3
124,04,131,2010,02060,4
124,04,136,2003,02060,1
124,04,136,2006,02060,1
124,04,136,2007,02060,3
124,04,136,2010,02060,2
124,04,136,2011,02060,17
124,04,136,2015,02060,11
124,04,136,2017,02060,7
124,04,136,2018,02060,9
124,04,136,2019,02060,4
124,04,138,2014,02060,2
124,04,138,2018,02060,2
124,04,141,2000,02060,1
124,04,143,2017,02060,2
124,04,204,1995,02060,1
124,04,204,2004,02060,7
124,04,204,2006,02060,3
124,04,204,2010,02060,2
124,04,204,2012,02060,4
124,04,204,2013,02060,4
124,04,204,2015,02060,12
124,04,204,2016,02060,17
124,04,204,2017,02060,22
124,04,204,2018,02060,1
124,04,204,2019,02060,3
124,04,227,2010,02060,1
124,04,227,2013,02060,3
124,04,228,1992,02060,1
124,04,237,2000,02060,1
124,04,237,2001,02060,1
124,04,237,2005,02060,4
124,04,237,2015,02060,2
124,04,237,2017,02060,11
124,04,237,2018,02060,13
124,04,238,2019,02060,1
124,04,240,1992,02060,13
124,04,241,2000,02060,1
124,04,241,2016,02060,1
124,04,241,2017,02060,2
124,04,241,2018,02060,2
124,04,251,2003,02060,2
124,04,251,2014,02060,1
124,04,252,2005,02060,9
124,04,252,2006,02060,1
124,04,252,2007,02060,18
124,04,252,2008,02060,1
124,04,310,2000,02060,2
124,04,311,2007,02060,7
124,04,319,2012,02060,5
124,04,326,2008,02060,1
124,04,329,2003,02060,2
124,04,330,2006,02060,1
124,04,331,2003,02060,1
124,04,331,2014,02060,2
124,04,338,2004,02060,2
124,04,338,2010,02060,3
124,04,340,2012,02060,1
124,04,352,2015,02060,2
124,04,352,2017,02060,2
124,04,353,2019,02060,1
124,04,404,2006,02060,1
124,04,404,2016,02060,1
124,04,430,2018,02060,2
124,04,438,2004,02060,1
124,04,438,2005,02060,2
124,04,438,2008,02060,2
124,04,438,2010,02060,2
124,04,438,2011,02060,2
124,04,438,2012,02060,2
124,04,438,2013,02060,2
124,04,540,2012,02060,2
124,04,540,2014,02060,2
124,04,540,2017,02060,1
124,11,004,2019,02060,1
124,11,011,1977,02060,1
124,11,011,2001,02060,1
124,11,017,2015,02060,1
124,11,019,2017,02060,1
124,11,023,2000,02060,1
124,11,033,1976,02060,5
124,11,033,1982,02060,2
124,11,033,1985,02060,1
124,11,033,1987,02060,1
124,11,033,1988,02060,2
124,11,033,1991,02060,2
124,11,033,1993,02060,1
124,11,033,1996,02060,2
124,11,033,1997,02060,1
124,11,033,1998,02060,6
124,11,033,1999,02060,2
124,11,033,2000,02060,6
124,11,033,2001,02060,4
124,11,033,2003,02060,15
124,11,033,2004,02060,3
124,11,033,2005,02060,6
124,11,033,2006,02060,3
124,11,033,2007,02060,2
124,11,033,2009,02060,8
124,11,033,2010,02060,10
124,11,033,2011,02060,5
124,11,033,2012,02060,4
124,11,033,2014,02060,2
124,11,034,1995,02060,23
124,11,034,1996,02060,16
124,11,034,1997,02060,22
124,11,034,1998,02060,17
124,11,034,2005,02060,4
124,11,034,2006,02060,6
124,11,034,2008,02060,4
124,11,034,2009,02060,2
124,11,034,2010,02060,1
124,11,034,2011,02060,1
124,11,034,2012,02060,4
124,11,036,2002,02060,2
124,11,036,2004,02060,2
124,11,037,2014,02060,2
124,11,037,2015,02060,5
124,11,045,2001,02060,1
124,11,045,2002,02060,1
124,11,045,2013,02060,1
124,11,045,2016,02060,2
124,11,045,2017,02060,2
124,11,045,2019,02060,3
124,11,046,2002,02060,2
124,11,046,2003,02060,1
124,11,046,2004,02060,1
124,11,046,2005,02060,2
124,11,046,2011,02060,1
124,11,046,2015,02060,1
124,11,046,2017,02060,2
124,11,048,2010,02060,1
124,11,048,2014,02060,1
124,11,048,2016,02060,1
124,11,048,2017,02060,2
124,11,053,2019,02060,1
124,11,057,2006,02060,3
124,11,057,2015,02060,2
124,11,085,2002,02060,2
124,11,085,2013,02060,1
124,11,085,2019,02060,3
124,11,110,1980,02060,2
124,11,133,2015,02060,3
124,11,133,2016,02060,3
124,11,133,2017,02060,8
124,11,133,2018,02060,5
124,11,133,2019,02060,6
124,11,167,2008,02060,2
124,11,175,2015,02060,2
124,11,185,2017,02060,1
124,11,198,1990,02060,2
124,11,198,1993,02060,9
124,11,198,1994,02060,2
124,11,198,1996,02060,2
124,11,198,1997,02060,8
124,11,198,2002,02060,1
124,11,198,2003,02060,4
124,11,198,2004,02060,3
124,11,198,2005,02060,29
124,11,198,2006,02060,5
124,11,198,2007,02060,5
124,11,198,2008,02060,7
124,11,198,2009,02060,5
124,11,198,2010,02060,12
124,11,198,2011,02060,11
124,11,198,2013,02060,7
124,11,198,2016,02060,7
124,11,198,2017,02060,6
124,11,198,2018,02060,10
124,11,198,2019,02060,3
124,11,199,2004,02060,1
124,11,204,1995,02060,2
124,11,204,1998,02060,1
124,11,204,1999,02060,2
124,11,204,2000,02060,1
124,11,204,2007,02060,1
124,11,204,2009,02060,1
124,11,204,2010,02060,1
124,11,204,2013,02060,3
124,11,205,2018,02060,1
124,11,233,2014,02060,1
124,11,234,1982,02060,1
124,11,234,1986,02060,1
124,11,234,1999,02060,3
124,11,234,2002,02060,2
124,11,234,2003,02060,3
124,11,234,2004,02060,2
124,11,234,2005,02060,1
124,11,234,2006,02060,2
124,11,234,2008,02060,5
124,11,234,2009,02060,3
124,11,234,2010,02060,1
124,11,234,2011,02060,8
124,11,234,2012,02060,2
124,11,234,2013,02060,2
124,11,234,2014,02060,2
124,11,234,2015,02060,1
124,11,235,1988,02060,2
124,11,235,1989,02060,2
124,11,235,1990,02060,1
124,11,235,1991,02060,2
124,11,235,2006,02060,1
124,11,235,2011,02060,1
124,11,235,2012,02060,3
124,11,235,2016,02060,8
124,11,235,2017,02060,14
124,11,235,2019,02060,5
124,11,236,2002,02060,5
124,11,236,2004,02060,2
124,11,236,2015,02060,2
124,11,236,2018,02060,5
124,11,237,2011,02060,1
124,11,237,2014,02060,2
124,11,237,2015,02060,1
124,11,237,2016,02060,1
124,11,237,2019,02060,1
124,11,244,1982,02060,7
124,11,244,1995,02060,1
124,11,244,1999,02060,2
124,11,244,2000,02060,5
124,11,244,2001,02060,3
124,11,244,2002,02060,8
124,11,244,2003,02060,3
124,11,244,2004,02060,1
124,11,244,2005,02060,2
124,11,244,2006,02060,2
124,11,244,2007,02060,1
124,11,244,2009,02060,8
124,11,244,2010,02060,12
124,11,244,2011,02060,6
124,11,244,2012,02060,1
124,11,244,2013,02060,6
124,11,244,2014,02060,1
124,11,244,2015,02060,1
124,11,244,2016,02060,4
124,11,244,2017,02060,5
124,11,244,2018,02060,4
124,11,244,2019,02060,5
