"Age","Common_Name","Length","mass"
0,"Walleye",10.0758548673362,11.394024701028
1,"Walleye",27.1434458445159,241.881125513527
2,"Walleye",39.7122104182972,781.837296478419
3,"Walleye",48.9679889943341,1491.57261961546
4,"Walleye",55.7840476885459,2229.16571364679
5,"Walleye",60.8034694196601,2907.41994524372
6,"Walleye",64.4998276297466,3487.61755807085
7,"Walleye",67.2218670895074,3961.65969676995
8,"Walleye",69.2264073422016,4337.32146922634
9,"Walleye",70.7025731671541,4628.85525898899
10,"Walleye",71.7896381636435,4851.81313491814
11,"Walleye",72.5901649653194,5020.56338412509
12,"Walleye",73.1796818408245,5147.33757473853
13,"Walleye",73.6138086505426,5242.06610387653
14,"Walleye",73.9335044807161,5312.57345929019
15,"Walleye",74.168932059807,5364.90358779314
16,"Walleye",74.3423035578542,5403.66197540402
17,"Walleye",74.4699762648971,5432.3247340548
18,"Walleye",74.5639958719679,5453.49786339145
19,"Walleye",74.6332329604458,5469.12559233424
20,"Walleye",74.6842199255083,5480.65335243126
21,"Walleye",74.7217672959051,5489.15301220513
22,"Walleye",74.7494175987225,5495.4179477038
23,"Walleye",74.7697795904628,5500.03460374538
24,"Walleye",74.7847743885442,5503.43603571595
25,"Walleye",74.7958167252845,5505.94179671017
26,"Walleye",74.8039484253597,5507.7875598536
27,"Walleye",74.8099367000944,5509.14706770347
28,"Walleye",74.8143465324746,5510.14836941353
29,"Walleye",74.81759398228,5510.88581778468
0,"Lake trout",1.44523659075016,0.0316354788503084
1,"Lake trout",10.4444469476262,14.8568760390631
2,"Lake trout",18.3187407281666,85.2945193985931
3,"Lake trout",25.208734414655,230.254873773107
4,"Lake trout",31.2374671903062,448.614626686983
5,"Lake trout",36.512598131498,728.890763754205
6,"Lake trout",41.128328747243,1055.52879931777
7,"Lake trout",45.1670851979621,1412.56468876407
8,"Lake trout",48.700990234054,1785.54423698766
9,"Lake trout",51.7931511396446,2162.36204601742
10,"Lake trout",54.4987866811806,2533.46879182629
11,"Lake trout",56.8662131855347,2891.73599294552
12,"Lake trout",58.9377073566736,3232.15723589977
13,"Lake trout",60.7502612387775,3551.49193712092
14,"Lake trout",62.336242807687,3847.91100686764
15,"Lake trout",63.723973987298,4120.67471809007
16,"Lake trout",64.9382364129256,4369.85560750357
17,"Lake trout",66.0007139733882,4596.10919173178
18,"Lake trout",66.9303800345801,4800.48989144161
19,"Lake trout",67.7438362594398,4984.30700207304
20,"Lake trout",68.4556090748469,5149.01466151963
21,"Lake trout",69.0784090796535,5296.12980546584
22,"Lake trout",69.6233580262711,5427.17261557456
23,"Lake trout",70.1001874291735,5543.62468244936
24,"Lake trout",70.5174123470003,5646.90086821808
25,"Lake trout",70.8824834416013,5738.33157874445
26,"Lake trout",71.2019200294432,5819.15280269831
27,"Lake trout",71.4814265013637,5890.50182954864
28,"Lake trout",71.725994189659,5953.41702090491
29,"Lake trout",71.9399905016124,6008.84038684507
30,"Lake trout",72.1272369111806,6057.62202148293
31,"Lake trout",72.2910772015861,6100.52569142651
32,"Lake trout",72.4344371774707,6138.23505787135
33,"Lake trout",72.5598769129275,6171.36015766389
34,"Lake trout",72.6696364684406,6200.44387922484
35,"Lake trout",72.7656758931299,6225.96825284284
36,"Lake trout",72.8497102266467,6248.36043737768
37,"Lake trout",72.9232401257736,6267.99833157584
38,"Lake trout",72.9875786626472,6285.21577178103
0,"Yellow perch",1.87395346768368,0.0975362122045574
1,"Yellow perch",9.99048736375495,16.4867704046381
2,"Yellow perch",15.9257020656194,68.8497082178785
3,"Yellow perch",20.2658272974354,144.124401919547
4,"Yellow perch",23.4395434937388,225.12308312422
5,"Yellow perch",25.7603231848041,300.680532053297
6,"Yellow perch",27.4573931309873,365.6280864631
7,"Yellow perch",28.698375380757,418.68543160383
8,"Yellow perch",29.6058435424006,460.608075518414
9,"Yellow perch",30.2694295562615,492.993154702695
10,"Yellow perch",30.7546767708793,517.622246461699
11,"Yellow perch",31.1095137541428,536.147883455425
0,"Northern pike",8.48123348692903,4.27601607689103
1,"Northern pike",24.6607152981272,115.39081428061
2,"Northern pike",37.9420696874377,436.377425117813
3,"Northern pike",48.8444197424544,951.757103702308
4,"Northern pike",57.7939013418452,1599.96281699301
5,"Northern pike",65.1403193612317,2315.01082894984
6,"Northern pike",71.1708203591041,3042.76336029315
7,"Northern pike",76.1211161616804,3744.80041421362
8,"Northern pike",80.1846970385678,4397.0427159147
9,"Northern pike",83.5203945810078,4986.66334510087
10,"Northern pike",86.2585898899599,5508.87974987376
0,"Muskellunge",9.0674901052105,8.25730429793957
1,"Muskellunge",28.2772028233438,310.168888100276
2,"Muskellunge",44.2443196082963,1292.50448607504
3,"Muskellunge",57.516190050359,2983.05009582927
4,"Muskellunge",68.547771230807,5219.2014472478
5,"Muskellunge",77.7172235602333,7788.10553391088
6,"Muskellunge",85.3388740422728,10494.5339245677
7,"Muskellunge",91.6739913408225,13185.9254663989
8,"Muskellunge",96.9397420179176,15755.7933281665
9,"Muskellunge",101.316634960322,18137.7962300842
10,"Muskellunge",104.954709188296,20296.9110569938
11,"Muskellunge",107.978677163389,22220.7433405933
12,"Muskellunge",110.492199906844,23912.1835722778
13,"Muskellunge",112.581440478802,25383.7046290692
14,"Muskellunge",114.318017630881,26653.185597617
15,"Muskellunge",115.76146088275,27740.9980301346
16,"Muskellunge",116.961251182231,28668.0672401278
17,"Muskellunge",117.958517102361,29454.6517057506
18,"Muskellunge",118.787444720697,30119.6316212864
19,"Muskellunge",119.476449511266,30680.1461049109
20,"Muskellunge",120.049150421364,31151.4606255615
21,"Muskellunge",120.525179524379,31546.9799438756
22,"Muskellunge",120.920855003362,31878.3476269599
23,"Muskellunge",121.249740535102,32155.5922109468
24,"Muskellunge",121.523110250267,32387.2937485598
25,"Muskellunge",121.750335208368,32580.75407715
26,"Muskellunge",121.939204635813,32742.1607442276
27,"Muskellunge",122.096192939042,32876.7389704858
