record_id,month,day,year,plot_id,species_id,sex,hindfoot_length,weight,genus,species,taxa,plot_type,Date,Name
63,8,19,1977,3,DM,M,35,40,Dipodomys,merriami,Rodent,Long-term Krat Exclosure,1977-08-19,Dipodomys merriami
64,8,19,1977,7,DM,M,37,48,Dipodomys,merriami,Rodent,Rodent Exclosure,1977-08-19,Dipodomys merriami
65,8,19,1977,4,DM,F,34,29,Dipodomys,merriami,Rodent,Control,1977-08-19,Dipodomys merriami
66,8,19,1977,4,DM,F,35,46,Dipodomys,merriami,Rodent,Control,1977-08-19,Dipodomys merriami
67,8,19,1977,7,DM,M,35,36,Dipodomys,merriami,Rodent,Rodent Exclosure,1977-08-19,Dipodomys merriami
68,8,19,1977,8,DO,F,32,52,Dipodomys,ordii,Rodent,Control,1977-08-19,Dipodomys ordii
69,8,19,1977,2,PF,M,15,8,Perognathus,flavus,Rodent,Control,1977-08-19,Perognathus flavus
70,8,19,1977,3,OX,F,21,22,Onychomys,sp.,Rodent,Long-term Krat Exclosure,1977-08-19,Onychomys sp.
71,8,19,1977,7,DM,F,36,35,Dipodomys,merriami,Rodent,Rodent Exclosure,1977-08-19,Dipodomys merriami
74,8,19,1977,8,PF,M,12,7,Perognathus,flavus,Rodent,Control,1977-08-19,Perognathus flavus
75,8,19,1977,8,DM,F,32,22,Dipodomys,merriami,Rodent,Control,1977-08-19,Dipodomys merriami
78,8,19,1977,1,PF,M,16,9,Perognathus,flavus,Rodent,Spectab exclosure,1977-08-19,Perognathus flavus
79,8,19,1977,7,DM,F,34,42,Dipodomys,merriami,Rodent,Rodent Exclosure,1977-08-19,Dipodomys merriami
81,8,19,1977,4,PF,F,14,8,Perognathus,flavus,Rodent,Control,1977-08-19,Perognathus flavus
82,8,19,1977,4,DM,F,35,41,Dipodomys,merriami,Rodent,Control,1977-08-19,Dipodomys merriami
83,8,20,1977,6,DM,F,37,37,Dipodomys,merriami,Rodent,Short-term Krat Exclosure,1977-08-20,Dipodomys merriami
84,8,20,1977,19,DM,F,35,43,Dipodomys,merriami,Rodent,Long-term Krat Exclosure,1977-08-20,Dipodomys merriami
85,8,20,1977,23,DM,F,35,41,Dipodomys,merriami,Rodent,Rodent Exclosure,1977-08-20,Dipodomys merriami
86,8,20,1977,18,DM,F,33,40,Dipodomys,merriami,Rodent,Short-term Krat Exclosure,1977-08-20,Dipodomys merriami
87,8,20,1977,5,PF,F,11,9,Perognathus,flavus,Rodent,Rodent Exclosure,1977-08-20,Perognathus flavus
88,8,20,1977,18,DM,F,35,45,Dipodomys,merriami,Rodent,Short-term Krat Exclosure,1977-08-20,Dipodomys merriami
89,8,20,1977,12,PP,F,20,15,Chaetodipus,penicillatus,Rodent,Control,1977-08-20,Chaetodipus penicillatus
90,8,20,1977,18,DM,M,35,29,Dipodomys,merriami,Rodent,Short-term Krat Exclosure,1977-08-20,Dipodomys merriami
92,8,20,1977,6,DM,M,35,39,Dipodomys,merriami,Rodent,Short-term Krat Exclosure,1977-08-20,Dipodomys merriami
93,8,20,1977,18,DM,,NA,42,Dipodomys,merriami,Rodent,Short-term Krat Exclosure,1977-08-20,Dipodomys merriami
94,8,20,1977,18,DM,F,36,43,Dipodomys,merriami,Rodent,Short-term Krat Exclosure,1977-08-20,Dipodomys merriami
95,8,20,1977,23,DM,M,38,46,Dipodomys,merriami,Rodent,Rodent Exclosure,1977-08-20,Dipodomys merriami
96,8,20,1977,12,DM,M,36,41,Dipodomys,merriami,Rodent,Control,1977-08-20,Dipodomys merriami
97,8,20,1977,18,DM,M,36,41,Dipodomys,merriami,Rodent,Short-term Krat Exclosure,1977-08-20,Dipodomys merriami
98,8,20,1977,5,DM,M,38,40,Dipodomys,merriami,Rodent,Rodent Exclosure,1977-08-20,Dipodomys merriami
99,8,20,1977,11,DM,M,37,45,Dipodomys,merriami,Rodent,Control,1977-08-20,Dipodomys merriami
101,8,20,1977,5,DM,F,35,46,Dipodomys,merriami,Rodent,Rodent Exclosure,1977-08-20,Dipodomys merriami
102,8,20,1977,23,DM,F,35,40,Dipodomys,merriami,Rodent,Rodent Exclosure,1977-08-20,Dipodomys merriami
103,8,20,1977,18,DM,F,35,30,Dipodomys,merriami,Rodent,Short-term Krat Exclosure,1977-08-20,Dipodomys merriami
105,8,20,1977,19,DM,M,35,39,Dipodomys,merriami,Rodent,Long-term Krat Exclosure,1977-08-20,Dipodomys merriami
109,8,20,1977,6,DM,M,35,34,Dipodomys,merriami,Rodent,Short-term Krat Exclosure,1977-08-20,Dipodomys merriami
111,8,20,1977,11,DM,F,37,42,Dipodomys,merriami,Rodent,Control,1977-08-20,Dipodomys merriami
112,8,20,1977,23,DM,M,37,42,Dipodomys,merriami,Rodent,Rodent Exclosure,1977-08-20,Dipodomys merriami
113,8,20,1977,5,PF,F,13,8,Perognathus,flavus,Rodent,Rodent Exclosure,1977-08-20,Perognathus flavus
116,8,21,1977,13,DM,F,37,31,Dipodomys,merriami,Rodent,Short-term Krat Exclosure,1977-08-21,Dipodomys merriami
146,8,21,1977,13,DM,F,36,40,Dipodomys,merriami,Rodent,Short-term Krat Exclosure,1977-08-21,Dipodomys merriami
157,9,11,1977,20,DM,M,36,37,Dipodomys,merriami,Rodent,Short-term Krat Exclosure,1977-09-11,Dipodomys merriami
158,9,11,1977,22,DM,M,36,48,Dipodomys,merriami,Rodent,Control,1977-09-11,Dipodomys merriami
161,9,11,1977,5,DM,M,37,42,Dipodomys,merriami,Rodent,Rodent Exclosure,1977-09-11,Dipodomys merriami
162,9,11,1977,6,DM,F,39,45,Dipodomys,merriami,Rodent,Short-term Krat Exclosure,1977-09-11,Dipodomys merriami
163,9,11,1977,12,PP,F,21,16,Chaetodipus,penicillatus,Rodent,Control,1977-09-11,Chaetodipus penicillatus
164,9,11,1977,22,DM,F,36,36,Dipodomys,merriami,Rodent,Control,1977-09-11,Dipodomys merriami
167,9,11,1977,6,DM,M,36,42,Dipodomys,merriami,Rodent,Short-term Krat Exclosure,1977-09-11,Dipodomys merriami
168,9,11,1977,12,DM,M,36,44,Dipodomys,merriami,Rodent,Control,1977-09-11,Dipodomys merriami
170,9,11,1977,20,DM,F,36,41,Dipodomys,merriami,Rodent,Short-term Krat Exclosure,1977-09-11,Dipodomys merriami
172,9,11,1977,22,PF,F,NA,8,Perognathus,flavus,Rodent,Control,1977-09-11,Perognathus flavus
173,9,11,1977,12,DM,F,36,40,Dipodomys,merriami,Rodent,Control,1977-09-11,Dipodomys merriami
174,9,11,1977,12,DM,M,37,34,Dipodomys,merriami,Rodent,Control,1977-09-11,Dipodomys merriami
175,9,11,1977,19,DM,M,33,40,Dipodomys,merriami,Rodent,Long-term Krat Exclosure,1977-09-11,Dipodomys merriami
177,9,11,1977,5,OX,F,NA,20,Onychomys,sp.,Rodent,Rodent Exclosure,1977-09-11,Onychomys sp.
178,9,11,1977,18,DM,M,33,44,Dipodomys,merriami,Rodent,Short-term Krat Exclosure,1977-09-11,Dipodomys merriami
179,9,11,1977,12,DM,M,37,44,Dipodomys,merriami,Rodent,Control,1977-09-11,Dipodomys merriami
180,9,11,1977,6,DM,M,34,36,Dipodomys,merriami,Rodent,Short-term Krat Exclosure,1977-09-11,Dipodomys merriami
181,9,11,1977,20,DM,M,35,33,Dipodomys,merriami,Rodent,Short-term Krat Exclosure,1977-09-11,Dipodomys merriami
183,9,11,1977,5,DM,F,37,46,Dipodomys,merriami,Rodent,Rodent Exclosure,1977-09-11,Dipodomys merriami
186,9,11,1977,19,DM,F,34,35,Dipodomys,merriami,Rodent,Long-term Krat Exclosure,1977-09-11,Dipodomys merriami
187,9,12,1977,17,DM,M,36,46,Dipodomys,merriami,Rodent,Control,1977-09-12,Dipodomys merriami
189,9,12,1977,17,DM,F,33,37,Dipodomys,merriami,Rodent,Control,1977-09-12,Dipodomys merriami
190,9,12,1977,7,DM,M,36,34,Dipodomys,merriami,Rodent,Rodent Exclosure,1977-09-12,Dipodomys merriami
192,9,12,1977,4,DM,F,36,45,Dipodomys,merriami,Rodent,Control,1977-09-12,Dipodomys merriami
196,9,12,1977,7,PF,F,15,7,Perognathus,flavus,Rodent,Rodent Exclosure,1977-09-12,Perognathus flavus
197,9,12,1977,14,DM,M,37,51,Dipodomys,merriami,Rodent,Control,1977-09-12,Dipodomys merriami
198,9,12,1977,4,DM,M,35,39,Dipodomys,merriami,Rodent,Control,1977-09-12,Dipodomys merriami
199,9,12,1977,11,DM,M,36,29,Dipodomys,merriami,Rodent,Control,1977-09-12,Dipodomys merriami
202,9,12,1977,17,DM,F,32,48,Dipodomys,merriami,Rodent,Control,1977-09-12,Dipodomys merriami
203,9,12,1977,11,DM,M,38,46,Dipodomys,merriami,Rodent,Control,1977-09-12,Dipodomys merriami
204,9,12,1977,16,DM,F,37,41,Dipodomys,merriami,Rodent,Rodent Exclosure,1977-09-12,Dipodomys merriami
208,9,12,1977,14,DM,M,37,45,Dipodomys,merriami,Rodent,Control,1977-09-12,Dipodomys merriami
209,9,12,1977,17,DM,F,35,42,Dipodomys,merriami,Rodent,Control,1977-09-12,Dipodomys merriami
210,9,12,1977,11,DM,F,36,53,Dipodomys,merriami,Rodent,Control,1977-09-12,Dipodomys merriami
213,9,12,1977,14,DM,F,35,49,Dipodomys,merriami,Rodent,Control,1977-09-12,Dipodomys merriami
215,9,12,1977,14,DM,F,36,46,Dipodomys,merriami,Rodent,Control,1977-09-12,Dipodomys merriami
216,9,12,1977,4,PF,F,13,9,Perognathus,flavus,Rodent,Control,1977-09-12,Perognathus flavus
217,9,13,1977,3,PP,F,19,15,Chaetodipus,penicillatus,Rodent,Long-term Krat Exclosure,1977-09-13,Chaetodipus penicillatus
218,9,13,1977,1,PF,M,13,4,Perognathus,flavus,Rodent,Spectab exclosure,1977-09-13,Perognathus flavus
219,9,13,1977,13,DM,M,36,48,Dipodomys,merriami,Rodent,Short-term Krat Exclosure,1977-09-13,Dipodomys merriami
226,9,13,1977,2,DM,M,37,51,Dipodomys,merriami,Rodent,Control,1977-09-13,Dipodomys merriami
228,9,13,1977,9,DM,M,38,50,Dipodomys,merriami,Rodent,Spectab exclosure,1977-09-13,Dipodomys merriami
229,9,13,1977,13,DM,M,35,44,Dipodomys,merriami,Rodent,Short-term Krat Exclosure,1977-09-13,Dipodomys merriami
233,9,13,1977,2,DM,M,25,44,Dipodomys,merriami,Rodent,Control,1977-09-13,Dipodomys merriami
234,9,13,1977,9,DM,M,35,45,Dipodomys,merriami,Rodent,Spectab exclosure,1977-09-13,Dipodomys merriami
235,9,13,1977,13,DM,F,37,45,Dipodomys,merriami,Rodent,Short-term Krat Exclosure,1977-09-13,Dipodomys merriami
238,9,13,1977,2,PE,M,20,19,Peromyscus,eremicus,Rodent,Control,1977-09-13,Peromyscus eremicus
242,9,13,1977,2,OX,M,19,22,Onychomys,sp.,Rodent,Control,1977-09-13,Onychomys sp.
243,10,16,1977,6,DM,F,38,44,Dipodomys,merriami,Rodent,Short-term Krat Exclosure,1977-10-16,Dipodomys merriami
244,10,16,1977,22,DM,F,36,42,Dipodomys,merriami,Rodent,Control,1977-10-16,Dipodomys merriami
245,10,16,1977,2,DM,M,37,39,Dipodomys,merriami,Rodent,Control,1977-10-16,Dipodomys merriami
246,10,16,1977,13,DM,M,37,47,Dipodomys,merriami,Rodent,Short-term Krat Exclosure,1977-10-16,Dipodomys merriami
248,10,16,1977,22,OT,M,NA,21,Onychomys,torridus,Rodent,Control,1977-10-16,Onychomys torridus
249,10,16,1977,13,DM,M,36,42,Dipodomys,merriami,Rodent,Short-term Krat Exclosure,1977-10-16,Dipodomys merriami
251,10,16,1977,2,DM,M,36,49,Dipodomys,merriami,Rodent,Control,1977-10-16,Dipodomys merriami
253,10,16,1977,20,DM,M,38,39,Dipodomys,merriami,Rodent,Short-term Krat Exclosure,1977-10-16,Dipodomys merriami
254,10,16,1977,20,DM,F,36,43,Dipodomys,merriami,Rodent,Short-term Krat Exclosure,1977-10-16,Dipodomys merriami
255,10,16,1977,18,DM,M,35,50,Dipodomys,merriami,Rodent,Short-term Krat Exclosure,1977-10-16,Dipodomys merriami
256,10,16,1977,6,DM,M,36,41,Dipodomys,merriami,Rodent,Short-term Krat Exclosure,1977-10-16,Dipodomys merriami
257,10,16,1977,2,DM,M,37,47,Dipodomys,merriami,Rodent,Control,1977-10-16,Dipodomys merriami
258,10,16,1977,18,DM,F,36,37,Dipodomys,merriami,Rodent,Short-term Krat Exclosure,1977-10-16,Dipodomys merriami
259,10,16,1977,2,DM,M,36,41,Dipodomys,merriami,Rodent,Control,1977-10-16,Dipodomys merriami
260,10,16,1977,22,DM,F,36,36,Dipodomys,merriami,Rodent,Control,1977-10-16,Dipodomys merriami
261,10,16,1977,6,DM,M,36,45,Dipodomys,merriami,Rodent,Short-term Krat Exclosure,1977-10-16,Dipodomys merriami
262,10,16,1977,20,PE,M,19,20,Peromyscus,eremicus,Rodent,Short-term Krat Exclosure,1977-10-16,Peromyscus eremicus
263,10,16,1977,1,DM,M,37,40,Dipodomys,merriami,Rodent,Spectab exclosure,1977-10-16,Dipodomys merriami
265,10,16,1977,9,DM,M,38,49,Dipodomys,merriami,Rodent,Spectab exclosure,1977-10-16,Dipodomys merriami
268,10,16,1977,2,DM,F,36,55,Dipodomys,merriami,Rodent,Control,1977-10-16,Dipodomys merriami
