Species,Common_Name,lAsym,k,t0,tmax,Age,Length
Sander vitreus,Walleye,74.82666667,0.305966667,-0.472692308,29,0,10.07585487
Sander vitreus,Walleye,74.82666667,0.305966667,-0.472692308,29,1,27.14344584
Sander vitreus,Walleye,74.82666667,0.305966667,-0.472692308,29,2,39.71221042
Sander vitreus,Walleye,74.82666667,0.305966667,-0.472692308,29,3,48.96798899
Sander vitreus,Walleye,74.82666667,0.305966667,-0.472692308,29,4,55.78404769
Sander vitreus,Walleye,74.82666667,0.305966667,-0.472692308,29,5,60.80346942
Sander vitreus,Walleye,74.82666667,0.305966667,-0.472692308,29,6,64.49982763
Sander vitreus,Walleye,74.82666667,0.305966667,-0.472692308,29,7,67.22186709
Sander vitreus,Walleye,74.82666667,0.305966667,-0.472692308,29,8,69.22640734
Sander vitreus,Walleye,74.82666667,0.305966667,-0.472692308,29,9,70.70257317
Sander vitreus,Walleye,74.82666667,0.305966667,-0.472692308,29,10,71.78963816
Sander vitreus,Walleye,74.82666667,0.305966667,-0.472692308,29,11,72.59016497
Sander vitreus,Walleye,74.82666667,0.305966667,-0.472692308,29,12,73.17968184
Sander vitreus,Walleye,74.82666667,0.305966667,-0.472692308,29,13,73.61380865
Sander vitreus,Walleye,74.82666667,0.305966667,-0.472692308,29,14,73.93350448
Sander vitreus,Walleye,74.82666667,0.305966667,-0.472692308,29,15,74.16893206
Sander vitreus,Walleye,74.82666667,0.305966667,-0.472692308,29,16,74.34230356
Sander vitreus,Walleye,74.82666667,0.305966667,-0.472692308,29,17,74.46997626
Sander vitreus,Walleye,74.82666667,0.305966667,-0.472692308,29,18,74.56399587
Sander vitreus,Walleye,74.82666667,0.305966667,-0.472692308,29,19,74.63323296
Sander vitreus,Walleye,74.82666667,0.305966667,-0.472692308,29,20,74.68421993
Sander vitreus,Walleye,74.82666667,0.305966667,-0.472692308,29,21,74.7217673
Sander vitreus,Walleye,74.82666667,0.305966667,-0.472692308,29,22,74.7494176
Sander vitreus,Walleye,74.82666667,0.305966667,-0.472692308,29,23,74.76977959
Sander vitreus,Walleye,74.82666667,0.305966667,-0.472692308,29,24,74.78477439
Sander vitreus,Walleye,74.82666667,0.305966667,-0.472692308,29,25,74.79581673
Sander vitreus,Walleye,74.82666667,0.305966667,-0.472692308,29,26,74.80394843
Sander vitreus,Walleye,74.82666667,0.305966667,-0.472692308,29,27,74.8099367
Sander vitreus,Walleye,74.82666667,0.305966667,-0.472692308,29,28,74.81434653
Sander vitreus,Walleye,74.82666667,0.305966667,-0.472692308,29,29,74.81759398
Salvelinus namaycush,Lake_trout,73.43794143,0.133533333,-0.148846154,38,0,1.445236591
Salvelinus namaycush,Lake_trout,73.43794143,0.133533333,-0.148846154,38,1,10.44444695
Salvelinus namaycush,Lake_trout,73.43794143,0.133533333,-0.148846154,38,2,18.31874073
Salvelinus namaycush,Lake_trout,73.43794143,0.133533333,-0.148846154,38,3,25.20873441
Salvelinus namaycush,Lake_trout,73.43794143,0.133533333,-0.148846154,38,4,31.23746719
Salvelinus namaycush,Lake_trout,73.43794143,0.133533333,-0.148846154,38,5,36.51259813
Salvelinus namaycush,Lake_trout,73.43794143,0.133533333,-0.148846154,38,6,41.12832875
Salvelinus namaycush,Lake_trout,73.43794143,0.133533333,-0.148846154,38,7,45.1670852
Salvelinus namaycush,Lake_trout,73.43794143,0.133533333,-0.148846154,38,8,48.70099023
Salvelinus namaycush,Lake_trout,73.43794143,0.133533333,-0.148846154,38,9,51.79315114
Salvelinus namaycush,Lake_trout,73.43794143,0.133533333,-0.148846154,38,10,54.49878668
Salvelinus namaycush,Lake_trout,73.43794143,0.133533333,-0.148846154,38,11,56.86621319
Salvelinus namaycush,Lake_trout,73.43794143,0.133533333,-0.148846154,38,12,58.93770736
Salvelinus namaycush,Lake_trout,73.43794143,0.133533333,-0.148846154,38,13,60.75026124
Salvelinus namaycush,Lake_trout,73.43794143,0.133533333,-0.148846154,38,14,62.33624281
Salvelinus namaycush,Lake_trout,73.43794143,0.133533333,-0.148846154,38,15,63.72397399
Salvelinus namaycush,Lake_trout,73.43794143,0.133533333,-0.148846154,38,16,64.93823641
Salvelinus namaycush,Lake_trout,73.43794143,0.133533333,-0.148846154,38,17,66.00071397
Salvelinus namaycush,Lake_trout,73.43794143,0.133533333,-0.148846154,38,18,66.93038003
Salvelinus namaycush,Lake_trout,73.43794143,0.133533333,-0.148846154,38,19,67.74383626
Salvelinus namaycush,Lake_trout,73.43794143,0.133533333,-0.148846154,38,20,68.45560907
Salvelinus namaycush,Lake_trout,73.43794143,0.133533333,-0.148846154,38,21,69.07840908
Salvelinus namaycush,Lake_trout,73.43794143,0.133533333,-0.148846154,38,22,69.62335803
Salvelinus namaycush,Lake_trout,73.43794143,0.133533333,-0.148846154,38,23,70.10018743
Salvelinus namaycush,Lake_trout,73.43794143,0.133533333,-0.148846154,38,24,70.51741235
Salvelinus namaycush,Lake_trout,73.43794143,0.133533333,-0.148846154,38,25,70.88248344
Salvelinus namaycush,Lake_trout,73.43794143,0.133533333,-0.148846154,38,26,71.20192003
Salvelinus namaycush,Lake_trout,73.43794143,0.133533333,-0.148846154,38,27,71.4814265
Salvelinus namaycush,Lake_trout,73.43794143,0.133533333,-0.148846154,38,28,71.72599419
Salvelinus namaycush,Lake_trout,73.43794143,0.133533333,-0.148846154,38,29,71.9399905
Salvelinus namaycush,Lake_trout,73.43794143,0.133533333,-0.148846154,38,30,72.12723691
Salvelinus namaycush,Lake_trout,73.43794143,0.133533333,-0.148846154,38,31,72.2910772
Salvelinus namaycush,Lake_trout,73.43794143,0.133533333,-0.148846154,38,32,72.43443718
Salvelinus namaycush,Lake_trout,73.43794143,0.133533333,-0.148846154,38,33,72.55987691
Salvelinus namaycush,Lake_trout,73.43794143,0.133533333,-0.148846154,38,34,72.66963647
Salvelinus namaycush,Lake_trout,73.43794143,0.133533333,-0.148846154,38,35,72.76567589
Salvelinus namaycush,Lake_trout,73.43794143,0.133533333,-0.148846154,38,36,72.84971023
Salvelinus namaycush,Lake_trout,73.43794143,0.133533333,-0.148846154,38,37,72.92324013
Salvelinus namaycush,Lake_trout,73.43794143,0.133533333,-0.148846154,38,38,72.98757866
Perca flavescens,Yellow_perch,32.075,0.313,-0.192333333,11,0,1.873953468
Perca flavescens,Yellow_perch,32.075,0.313,-0.192333333,11,1,9.990487364
Perca flavescens,Yellow_perch,32.075,0.313,-0.192333333,11,2,15.92570207
Perca flavescens,Yellow_perch,32.075,0.313,-0.192333333,11,3,20.2658273
Perca flavescens,Yellow_perch,32.075,0.313,-0.192333333,11,4,23.43954349
Perca flavescens,Yellow_perch,32.075,0.313,-0.192333333,11,5,25.76032318
Perca flavescens,Yellow_perch,32.075,0.313,-0.192333333,11,6,27.45739313
Perca flavescens,Yellow_perch,32.075,0.313,-0.192333333,11,7,28.69837538
Perca flavescens,Yellow_perch,32.075,0.313,-0.192333333,11,8,29.60584354
Perca flavescens,Yellow_perch,32.075,0.313,-0.192333333,11,9,30.26942956
Perca flavescens,Yellow_perch,32.075,0.313,-0.192333333,11,10,30.75467677
Perca flavescens,Yellow_perch,32.075,0.313,-0.192333333,11,11,31.10951375
Esox lucius,Northern_pike,98.80701754,0.197382759,-0.454678378,10,0,8.481233487
Esox lucius,Northern_pike,98.80701754,0.197382759,-0.454678378,10,1,24.6607153
Esox lucius,Northern_pike,98.80701754,0.197382759,-0.454678378,10,2,37.94206969
Esox lucius,Northern_pike,98.80701754,0.197382759,-0.454678378,10,3,48.84441974
Esox lucius,Northern_pike,98.80701754,0.197382759,-0.454678378,10,4,57.79390134
Esox lucius,Northern_pike,98.80701754,0.197382759,-0.454678378,10,5,65.14031936
Esox lucius,Northern_pike,98.80701754,0.197382759,-0.454678378,10,6,71.17082036
Esox lucius,Northern_pike,98.80701754,0.197382759,-0.454678378,10,7,76.12111616
Esox lucius,Northern_pike,98.80701754,0.197382759,-0.454678378,10,8,80.18469704
Esox lucius,Northern_pike,98.80701754,0.197382759,-0.454678378,10,9,83.52039458
Esox lucius,Northern_pike,98.80701754,0.197382759,-0.454678378,10,10,86.25858989
Esox masquinongy,Muskellunge,122.8692312,0.184884615,-0.414652174,30,0,9.067490105
Esox masquinongy,Muskellunge,122.8692312,0.184884615,-0.414652174,30,1,28.27720282
Esox masquinongy,Muskellunge,122.8692312,0.184884615,-0.414652174,30,2,44.24431961
Esox masquinongy,Muskellunge,122.8692312,0.184884615,-0.414652174,30,3,57.51619005
Esox masquinongy,Muskellunge,122.8692312,0.184884615,-0.414652174,30,4,68.54777123
Esox masquinongy,Muskellunge,122.8692312,0.184884615,-0.414652174,30,5,77.71722356
Esox masquinongy,Muskellunge,122.8692312,0.184884615,-0.414652174,30,6,85.33887404
Esox masquinongy,Muskellunge,122.8692312,0.184884615,-0.414652174,30,7,91.67399134
Esox masquinongy,Muskellunge,122.8692312,0.184884615,-0.414652174,30,8,96.93974202
Esox masquinongy,Muskellunge,122.8692312,0.184884615,-0.414652174,30,9,101.316635
Esox masquinongy,Muskellunge,122.8692312,0.184884615,-0.414652174,30,10,104.9547092
Esox masquinongy,Muskellunge,122.8692312,0.184884615,-0.414652174,30,11,107.9786772
Esox masquinongy,Muskellunge,122.8692312,0.184884615,-0.414652174,30,12,110.4921999
Esox masquinongy,Muskellunge,122.8692312,0.184884615,-0.414652174,30,13,112.5814405
Esox masquinongy,Muskellunge,122.8692312,0.184884615,-0.414652174,30,14,114.3180176
Esox masquinongy,Muskellunge,122.8692312,0.184884615,-0.414652174,30,15,115.7614609
Esox masquinongy,Muskellunge,122.8692312,0.184884615,-0.414652174,30,16,116.9612512
Esox masquinongy,Muskellunge,122.8692312,0.184884615,-0.414652174,30,17,117.9585171
Esox masquinongy,Muskellunge,122.8692312,0.184884615,-0.414652174,30,18,118.7874447
Esox masquinongy,Muskellunge,122.8692312,0.184884615,-0.414652174,30,19,119.4764495
Esox masquinongy,Muskellunge,122.8692312,0.184884615,-0.414652174,30,20,120.0491504
Esox masquinongy,Muskellunge,122.8692312,0.184884615,-0.414652174,30,21,120.5251795
Esox masquinongy,Muskellunge,122.8692312,0.184884615,-0.414652174,30,22,120.920855
Esox masquinongy,Muskellunge,122.8692312,0.184884615,-0.414652174,30,23,121.2497405
Esox masquinongy,Muskellunge,122.8692312,0.184884615,-0.414652174,30,24,121.5231103
Esox masquinongy,Muskellunge,122.8692312,0.184884615,-0.414652174,30,25,121.7503352
Esox masquinongy,Muskellunge,122.8692312,0.184884615,-0.414652174,30,26,121.9392046
Esox masquinongy,Muskellunge,122.8692312,0.184884615,-0.414652174,30,27,122.0961929
Esox masquinongy,Muskellunge,122.8692312,0.184884615,-0.414652174,30,28,122.2266816
Esox masquinongy,Muskellunge,122.8692312,0.184884615,-0.414652174,30,29,122.3351439
Esox masquinongy,Muskellunge,122.8692312,0.184884615,-0.414652174,30,30,122.4252977
Lota lota,Burbot,98.01734,0.130444444,-1.31,6,0,15.39648095
Lota lota,Burbot,98.01734,0.130444444,-1.31,6,1,25.500578
Lota lota,Burbot,98.01734,0.130444444,-1.31,6,2,34.36899706
Lota lota,Burbot,98.01734,0.130444444,-1.31,6,3,42.15285506
Lota lota,Burbot,98.01734,0.130444444,-1.31,6,4,48.98478811
Lota lota,Burbot,98.01734,0.130444444,-1.31,6,5,54.98121164
Lota lota,Burbot,98.01734,0.130444444,-1.31,6,6,60.24430407
Acipenser fulvescens,Lake_sturgeon,179.625,0.037425,-6.555571429,64,0,39.07980865
Acipenser fulvescens,Lake_sturgeon,179.625,0.037425,-6.555571429,64,1,44.24250295
Acipenser fulvescens,Lake_sturgeon,179.625,0.037425,-6.555571429,64,2,49.21555424
Acipenser fulvescens,Lake_sturgeon,179.625,0.037425,-6.555571429,64,3,54.00592875
Acipenser fulvescens,Lake_sturgeon,179.625,0.037425,-6.555571429,64,4,58.6203368
Acipenser fulvescens,Lake_sturgeon,179.625,0.037425,-6.555571429,64,5,63.06524223
Acipenser fulvescens,Lake_sturgeon,179.625,0.037425,-6.555571429,64,6,67.34687145
Acipenser fulvescens,Lake_sturgeon,179.625,0.037425,-6.555571429,64,7,71.47122212
Acipenser fulvescens,Lake_sturgeon,179.625,0.037425,-6.555571429,64,8,75.44407161
Acipenser fulvescens,Lake_sturgeon,179.625,0.037425,-6.555571429,64,9,79.27098507
Acipenser fulvescens,Lake_sturgeon,179.625,0.037425,-6.555571429,64,10,82.95732322
Acipenser fulvescens,Lake_sturgeon,179.625,0.037425,-6.555571429,64,11,86.50824986
Acipenser fulvescens,Lake_sturgeon,179.625,0.037425,-6.555571429,64,12,89.9287391
Acipenser fulvescens,Lake_sturgeon,179.625,0.037425,-6.555571429,64,13,93.22358235
Acipenser fulvescens,Lake_sturgeon,179.625,0.037425,-6.555571429,64,14,96.397395
Acipenser fulvescens,Lake_sturgeon,179.625,0.037425,-6.555571429,64,15,99.45462291
Acipenser fulvescens,Lake_sturgeon,179.625,0.037425,-6.555571429,64,16,102.3995486
Acipenser fulvescens,Lake_sturgeon,179.625,0.037425,-6.555571429,64,17,105.2362974
Acipenser fulvescens,Lake_sturgeon,179.625,0.037425,-6.555571429,64,18,107.9688429
Acipenser fulvescens,Lake_sturgeon,179.625,0.037425,-6.555571429,64,19,110.6010129
Acipenser fulvescens,Lake_sturgeon,179.625,0.037425,-6.555571429,64,20,113.1364945
Acipenser fulvescens,Lake_sturgeon,179.625,0.037425,-6.555571429,64,21,115.5788393
Acipenser fulvescens,Lake_sturgeon,179.625,0.037425,-6.555571429,64,22,117.9314687
Acipenser fulvescens,Lake_sturgeon,179.625,0.037425,-6.555571429,64,23,120.1976782
Acipenser fulvescens,Lake_sturgeon,179.625,0.037425,-6.555571429,64,24,122.3806422
Acipenser fulvescens,Lake_sturgeon,179.625,0.037425,-6.555571429,64,25,124.4834187
Acipenser fulvescens,Lake_sturgeon,179.625,0.037425,-6.555571429,64,26,126.5089531
Acipenser fulvescens,Lake_sturgeon,179.625,0.037425,-6.555571429,64,27,128.4600829
Acipenser fulvescens,Lake_sturgeon,179.625,0.037425,-6.555571429,64,28,130.3395412
Acipenser fulvescens,Lake_sturgeon,179.625,0.037425,-6.555571429,64,29,132.1499607
Acipenser fulvescens,Lake_sturgeon,179.625,0.037425,-6.555571429,64,30,133.8938775
Acipenser fulvescens,Lake_sturgeon,179.625,0.037425,-6.555571429,64,31,135.5737344
Acipenser fulvescens,Lake_sturgeon,179.625,0.037425,-6.555571429,64,32,137.1918845
Acipenser fulvescens,Lake_sturgeon,179.625,0.037425,-6.555571429,64,33,138.7505945
Acipenser fulvescens,Lake_sturgeon,179.625,0.037425,-6.555571429,64,34,140.252048
Acipenser fulvescens,Lake_sturgeon,179.625,0.037425,-6.555571429,64,35,141.698348
